Article Link,Title,Body
https://www.nature.com/articles/d41586-022-00379-x,Young cerebrospinal fluid improves memory in old mice,Infusion of cerebrospinal fluid from young mice into old mice restores memory recall in the aged animals by triggering production of the fatty myelin sheath that insulates neurons in the brain.
https://www.nature.com/articles/d41586-022-00379-x,Chance discovery sheds light on exploding stars,"A rare event has been identified in a brief detection of X-rays. Serendipity only pays off when you know what to do with it, and researchers have used the finding to verify a long-standing theory about a class of exploding star."
https://www.nature.com/articles/d41586-022-00379-x,A possible path towards encoded protein synthesis on ancient Earth,How did the biological machinery for protein synthesis evolve from simple chemicals on ancient Earth? Experiments suggest an intriguing role for modified RNA nucleotides in directing stepwise peptide synthesis.
https://www.nature.com/articles/d41586-022-00379-x,"From the archive: comet observation, and the explorer Dr Livingstone found safe",Snippets from Nature’s past.
https://www.nature.com/articles/d41586-022-00379-x,Mycoprotein produced in cell culture has environmental benefits over beef,"Would environmental damage be reduced by replacing beef with mycoprotein produced in cell culture? Modelling shows that this change could greatly cut global deforestation, pasture area and greenhouse-gas emissions."
https://www.nature.com/articles/d41586-022-00379-x,Light moves artificial cilia to a complex beat,The beating of hair-like structures that enable microorganisms to swim has been replicated in a polymer material that bends and twists with the help of light-sensitive molecular machines.
https://www.nature.com/articles/d41586-022-00379-x,A rethink about enzymes that drive DNA replication,"It has long been thought that two enzymes, the kinases CDC7 and CDK2, are both needed to trigger DNA replication in mammalian cells. This view is challenged by evidence that offers a revised view of which kinases are essential."
https://www.nature.com/articles/d41586-022-00379-x,"From the archive: the link between mosquitoes and disease, and Mount Vesuvius erupts",Snippets from Nature’s past.
https://www.nature.com/articles/d41586-022-00379-x,Killing the messenger to evade bacterial defences,Many mysteries remain about how antiviral responses shape the ability of viruses to infect bacteria. The finding that viruses interfere with signalling mediated by molecules called second messengers sheds light on bacterial defences.
https://www.nature.com/articles/d41586-022-00379-x,A switch in neuronal dynamics that helps to initiate movement,"Experiments on the mouse brain reveal that neuronal signals from the midbrain to the cortex act as a switch that transforms the dynamics of cortical neuronal activity and, in turn, initiates movement."
https://www.nature.com/articles/d41586-022-00379-x,Tailor-made enzymes poised to propel plastic recycling into a new era,"Waste streams of the plastic poly(ethylene terephthalate) that can be recycled into material suitable for food packaging are limited, creating a shortfall of feedstocks. An enzyme has been discovered that widens the feedstock options."
https://www.nature.com/articles/d41586-022-00379-x,Phosphorylation found inside RNA,"In an impressively thorough study, phosphorylation in the core of a transfer RNA molecule has been described for the first time, and the enzymes that add and remove the phosphate group have been characterized."
https://www.nature.com/articles/d41586-022-00379-x,Stretched skin cells divide without DNA replication,"Analysis of zebrafish larvae reveals that epithelial cells in their skin undergo tension-driven division without DNA replication. This allows rapid expansion, enabling the cells to cover the fast-growing organism."
https://www.nature.com/articles/d41586-022-00379-x,Virtual collaboration hinders a key component of creativity,Experiments and fieldwork show that teams working together online produce fewer ideas than those collaborating in person — a first step towards answering the question of which modes of communication are generally best for creativity.
https://www.nature.com/articles/d41586-022-00379-x,"Crosstalk between nerves, immune cells and plaques drives atherosclerosis","Fatty structures called plaques can form in arteries, and are separated from nerves by the artery walls. But this is no barrier to communication — it seems that nerves interact with plaques and immune cells to drive cardiovascular disease."
https://www.nature.com/articles/d41586-022-00379-x,Tension hones body segmentation around the clock,The formation of body segments in vertebrate embryos has long been attributed to the spatio-temporal patterning of molecular signals. But segment length in zebrafish is now found to be adjusted by tissue mechanics.
https://www.nature.com/articles/d41586-022-00379-x,Jumping robot bests biology by enhancing stored energy,A robotic jumper combines inspiration from biology with clever engineering to reach new heights. Crucial to the design is the combination of a rotary motor with a hybrid spring that maximizes stored energy density.
https://www.nature.com/articles/d41586-022-00379-x,"From the archive: Einstein’s ideas, and a telegraph pioneer",Snippets from Nature’s past.
https://www.nature.com/articles/d41586-022-00379-x,Marine heatwaves are reliably forecast by climate models,"Climate models can provide accurate seasonal forecasts of unusually warm ocean temperatures, enabling the models’ predictions to guide decisions made by stakeholders in the marine industries and conservation."
https://www.nature.com/articles/d41586-022-00379-x,Versatile neutral atoms take on quantum circuits,Neutral atoms are fast becoming prime candidates for use in quantum computers. Two studies involving multiple quantum bits show how this platform enables creative solutions for building quantum circuits.
https://www.nature.com/articles/d41586-022-00379-x,A colourful view of the origin of dinosaur feathers,"Birds and their dinosaur ancestors had feathers, and now it seems that a distantly related group called pterosaurs had them, too. The finding extends the origins of feathers back to long before birds evolved, and sheds light on their role."
https://www.nature.com/articles/d41586-022-00379-x,"From the archive: teaching the history of chemistry, and conversations about maths",Snippets from Nature’s past.
https://www.nature.com/articles/d41586-022-00379-x,Mental replays enable flexible navigation,"While rats pause to eat or rest during navigation tasks, neuronal sequences in the brain are replaying routes around moving obstacles, allowing the animals to reach their goals even in changing environments."
https://www.nature.com/articles/d41586-022-00379-x,Net-zero commitments could limit warming to below 2 °C,Analysis of climate pledges by nations at the COP26 meeting indicates that such commitments could ensure that global warming does not exceed 2 ºC before 2100 — but only if backed up by short-term policies.
https://www.nature.com/articles/d41586-022-00379-x,A detector that can learn the fingerprint of light,"The polarization, wavelength and power of a light wave can be simultaneously identified by a compact device made from twisted layers of carbon atoms — with a little help from an artificial neural network."
https://www.nature.com/articles/d41586-022-00379-x,Mutational clocks tick differently across species,"Throughout life, cells accrue mutations. It now emerges that longer-lived animals acquire mutations at a slower rate than do short-lived species, potentially explaining why cancer risk does not increase with lifespan."
https://www.nature.com/articles/d41586-022-00379-x,Self-activated adhesion receptor proteins visualized,"The inner workings of a family of proteins, known as adhesion G-protein-coupled receptors, have finally been visualized at high resolution — revealing the structural basis of their self-activation mechanism."
https://www.nature.com/articles/d41586-022-00379-x,A lengthy look at climate and its role in hominin evolution,Climate effects on ecosystems shaped the evolution of our hominin relatives in the human family tree. A modelling study examines these habitat changes and the various ways in which they influenced hominin species.
https://www.nature.com/articles/d41586-022-00379-x,"From the archive: Tutankhanum’s tomb, and a floating fish nest from Bermuda",Snippets from Nature’s past.
https://www.nature.com/articles/d41586-022-00379-x,Insights from orangutans into the evolution of tool use,Gaining the ability to make stone tools was a useful development for early human ancestors in the hominin branch of the evolutionary tree. Could studying orangutans provide clues to how this behaviour arose?
https://www.nature.com/articles/d41586-022-00379-x,Genetic origins of schizophrenia find common ground,Two differing approaches that are used to study common and rare genetic causes of schizophrenia reveal convergent clues about the biology underlying this complex disorder.
https://www.nature.com/articles/d41586-022-00379-x,Democratizing the mapping of gene mutations to protein biophysics,A general method that quantifies and disentangles the effects of a gene’s mutations on the traits of its protein enables assessments of mutational effects on protein biophysics for many of the proteins of a living organism.
https://www.nature.com/articles/d41586-022-00379-x,Cholera-causing bacteria have defences that degrade plasmid invaders,"Plasmids — circular DNA molecules — are found in many bacteria, and carry genes that can give the host microorganism new features. The mystery of how a cholera-causing bacterium eliminates plasmids has now been solved."
https://www.nature.com/articles/d41586-022-00379-x,Cryogenic mastery aids bid to spot elusive matter creation,A cubic metre of tellurium held at cryogenic temperatures over many years has enabled a search for matter created in a rare nuclear process. The feat bodes well for stabilizing other complex systems at low temperatures.
https://www.nature.com/articles/d41586-022-00379-x,"From the archive: Mary Leakey’s book on excavations in Africa, and physics teaching under scrutiny",Snippets from Nature’s past.
https://www.nature.com/articles/d41586-022-00379-x,An unexpected protein aggregate in diseased and ageing brains,Protein fibrils accumulate in the brain during neurodegeneration. Cryo-electron microscopy has now uncovered fibrils of a protein not previously thought to accumulate.
https://www.nature.com/articles/d41586-022-00379-x,Twenty-five years of nanoscale thermodynamics,A paper published in 1997 brought the thermodynamics of the nineteenth century into the twenty-first century — expanding the physics of transformations involved in the operation of steam engines to the realm of molecular motors.
https://www.nature.com/articles/d41586-022-00379-x,Bacteria swim faster when obstacles keep them in line,"Adding particles or polymers to a fluid can make bacteria swim straighter — and therefore faster — than they do through water, by inducing a torque that changes their body alignment."
https://www.nature.com/articles/d41586-022-00379-x,An added layer of repression for human genes,A protein complex called the rixosome helps to degrade RNA transcripts that linger after gene expression ceases. This discovery points to distinct roles for the rixosome in regulating chromatin in different species.
https://www.nature.com/articles/d41586-022-00379-x,Genome doubling causes double trouble,"Human cancer cells often double their genome through an error in cell division, and this can lead to further genomic instability. A detailed analysis of the first cell cycle after genome doubling sheds light on this phenomenon."
https://www.nature.com/articles/d41586-022-00379-x,Cell position matters in tumour development,Skin cells called melanocytes are not equally affected by the same genetic changes. Their ability to form tumours has now been linked to gene-expression programs that are selectively activated according to a cell’s anatomical position.
https://www.nature.com/articles/d41586-022-00379-x,Mobile mantle could explain volcanic hotspot locations,Ancient records of Earth’s magnetic field seem to contradict a conceptual picture of how regions of volcanic activity form. Statistical modelling now reconciles these data with our understanding of mantle fluid dynamics.
https://www.nature.com/articles/d41586-022-00379-x,From the archive: fishy business in 1972 and 1922,Snippets from Nature’s past.
https://www.nature.com/articles/d41586-022-00379-x,Electrification promotes tricky synthetic chemical reactions,"Chemical synthesis often relies on reactions catalysed by transition metals. Electrochemical methods have now been developed that negate this need, opening up pathways to previously challenging reactions."
https://www.nature.com/articles/d41586-022-00379-x,Constrained human genes under scrutiny,A higher number of damaging variations in certain genes is associated with an increased likelihood that a man will be childless. A geneticist and an anthropologist discuss what can — and can’t — be learnt from this finding.
https://www.nature.com/articles/d41586-022-00379-x,Mucus secretion blocked at its source in the lungs,"Higher than normal secretion of mucin, a molecular component of mucus, is a feature of many lung diseases. The development of a peptide that blocks mucin secretion in airway epithelial cells might lead to therapies."
https://www.nature.com/articles/d41586-022-00379-x,A stellar clock reveals the assembly history of the Milky Way,"A brief stage in stellar evolution offers a precise means of dating stars in the Milky Way. The ages, compositions and motions of these stars all pinpoint the dynamical processes involved in the Galaxy’s formation."
https://www.nature.com/articles/d41586-022-00379-x,From the archive: acrobatics in early Crete and the optics of William Turner’s paintings,Snippets from Nature’s past.
https://www.nature.com/articles/d41586-022-00379-x,Savannahs store carbon despite frequent fires,An analysis of carbon stored in the plants and soil of an African savannah suggests that atmospheric carbon dioxide concentrations — and thus global warming — might be less affected by frequent fires than we thought.
https://www.nature.com/articles/d41586-022-00379-x,A smart sensor that can be woven into everyday life,A hybrid design combines sensitivity and flexibility to create an acoustic single-fibre sensor that can be knitted into fabric. The future of tracking our health and fitness looks wearable — and perhaps even implantable.
https://www.nature.com/articles/d41586-022-00379-x,Superfluid confines exotic atoms without disrupting precision measurements,High-precision measurements of exotic atoms containing antimatter are shown to be equally precise when the atoms are immersed in superfluid helium. Such immersion could be used for other atoms in studies of dark matter.
https://www.nature.com/articles/d41586-022-00379-x,From the archive,"Nature’s pages consider the ingredients needed for a successful conference, and examine the mysteries of swallow migration."
https://www.nature.com/articles/d41586-022-00379-x,Promising reversible protein inhibitors kept on target,Compounds that form reversible covalent bonds with lysine amino-acid residues in proteins have high potential for drug discovery. A chemical group has been reported that prolongs the time for which such compounds bind to their targets.
https://www.nature.com/articles/d41586-022-00379-x,Trade-offs between stability and manoeuvrability in bird flight,"An understanding of how wing shape affects a bird’s agility requires parameters relating mass and geometry to aerodynamic performance. Analysis of one aspect of flight, inertial characteristics, fills a gap in our knowledge."
https://www.nature.com/articles/d41586-022-00379-x,AI predicts the effectiveness and evolution of gene promoter sequences,"A long-standing goal of biology is the ability to predict gene expression from DNA sequence. A type of artificial intelligence known as a neural network, combined with high-throughput experiments, now brings this goal a step closer."
https://www.nature.com/articles/d41586-022-00379-x,AI minds the gap and fills in missing Greek inscriptions,The use of artificial intelligence (AI) is transforming many areas of research. A new AI tool helps to fill in missing text and estimate the timeframe and geographical origin of ancient inscriptions.
https://www.nature.com/articles/d41586-022-00379-x,Immune cells alter genetic decoding in cancer,Cancer cells make proteins in which the amino acid phenylalanine is swapped for tryptophan when immune cells trigger a tryptophan shortage. This finding reveals unexpected dynamics of genetic decoding.
https://www.nature.com/articles/d41586-022-00379-x,Methane might be made by all living organisms,"It is textbook knowledge that some bacteria can generate methane enzymatically. A study now provides evidence that an alternative, non-enzymatic mode of methane production could occur in all metabolically active cells."
https://www.nature.com/articles/d41586-022-00379-x,Light arrays measure up on a chip the size of a fingertip,"An optical device enables high-speed, high-resolution distance measurements to be made over a large field of view. Clever switching gives the integrated design a tiny footprint and keeps its power consumption low."
https://www.nature.com/articles/d41586-022-00379-x,Self-assembly of molecules triggered by electricity,"The options for controlling molecular self-assembly processes have been limited. A fresh approach uses electrons to facilitate self-assembly, and thereby provides precise external control over the process."
https://www.nature.com/articles/d41586-022-00379-x,From the archive,Nature’s pages feature a review of an unusual book about mathematics and describe a striking meteor display.
https://www.nature.com/articles/d41586-022-00379-x,Brain changes after COVID revealed by imaging,Imaging before and after infection by the SARS-CoV-2 virus reveals substantial changes in the brain after infection. The work sets an example for the high standards required in large longitudinal neuroimaging studies.
https://www.nature.com/articles/d41586-022-00379-x,Isotopes tracked on a sub-nanometre scale using electron spectroscopy,Measurements of atomic vibrations can now identify chemical isotopes on a sub-nanometre scale in an electron microscope. An innovative approach makes use of this resolution to build and track isotopic domains.
https://www.nature.com/articles/d41586-022-00379-x,Letters and cards telling people about local police reduce crime,A combination of Internet-based and field experiments suggests that being given personal information about a stranger leads people to believe that they themselves are known to that person — and to change their behaviour accordingly.
https://www.nature.com/articles/d41586-022-00379-x,Plasmas primed for rapid pulse production,"A plasma-based device is set to challenge particle accelerators that generate high-quality light pulses, with evidence that the cheaper plasma platform can run at competitive repetition rates."
https://www.nature.com/articles/d41586-022-00379-x,From the archive,"Nature’s pages feature a look at some books for travellers, and success reported in the effort to preserve a Stone Age monument."
https://www.nature.com/articles/d41586-022-00379-x,Atomic changes can map subterranean structures,"A quantum device uses ultracold atoms to sense gravitational changes that can detect a tunnel under a city street. Here, scientists discuss the advance from the viewpoints of quantum sensing and geophysics."
https://www.nature.com/articles/d41586-022-00379-x,Radio bursts from among the oldest stars,"Luminous bursts of radio emission are linked to highly magnetized neutron stars known as magnetars. Now, bursts have been detected from a globular star cluster, an environment thought to be devoid of magnetars."
https://www.nature.com/articles/d41586-022-00379-x,Mechanism underlying a risk gene in neurodegeneration,Messenger RNA from the gene UNC13A is misprocessed in people who have neurodegenerative diseases known as ALS and FTD. The discovery could explain the disease risk associated with variants in this gene.
https://www.nature.com/articles/d41586-022-00379-x,Lung microbes mediate spinal-cord autoimmunity,Lung bacteria modulate the activity of immune cells in the central nervous system in a rodent model of autoimmunity. This finding might shed light on the neuroinflammation associated with multiple sclerosis.
https://www.nature.com/articles/d41586-022-00379-x,Fragile nanosheets stripped from crystals,"Two-dimensional materials have been restricted to systems in which strong chemical bonds hold atoms together in sheets. Now, 2D materials consisting of molecules linked by weak non-covalent bonds have been peeled from crystals."
https://www.nature.com/articles/d41586-022-00379-x,From the archive,"Nature’s pages feature a look at seal conservation in 1972, and highlight a new edition of Charles Darwin’s On The Origin of Species in 1872."
https://www.nature.com/articles/d41586-022-00379-x,Light-dependent development is tailored in visual neurons,"When mouse pups first open their eyes, what they see shapes neuronal connectivity. A study shows that this visual experience has cell-type-specific effects, acting only on a subset of malleable neurons."
https://www.nature.com/articles/d41586-022-00379-x,The glowing dusty heart of a hidden quasar,The torus of dust surrounding a quasar — a very luminous supermassive black hole that accretes matter from its surroundings — has now been captured with high-resolution infrared imaging.
https://www.nature.com/articles/d41586-022-00379-x,Atomic clouds stabilized to measure dilation of time,Tests of relativity once required accurate clocks separated by thousands of kilometres. Optical techniques have now made such tests possible in an atomic cluster measuring no more than one millimetre in size.
